constituency,pcon13cd,pcon15cd,first_name,last_name,party,colour,population_all,population_reg,percentage,deviation,
"Normanton, Pontefract and Castleford",E14000836,E14000836,Yvette,Cooper,Labour,#DC241f,"109,418",82592,110.4628924,-10.46289238,
North Cornwall,E14000837,E14000837,Scott,Mann,Conservative,#0087DC,"90,054",67192,89.86612099,10.13387901,
North Devon,E14000838,E14000838,Peter,Heaton-Jones,Conservative,#0087DC,"94,059",74737,99.95720151,0.042798486,
North Dorset,E14000839,E14000839,Simon,Hoare,Conservative,#0087DC,"97,407",73759,98.64917279,1.350827214,
North Durham,E14000840,E14000840,Kevan,Jones,Labour,#DC241f,"87,459",65359,87.41457021,12.58542979,
North East Bedfordshire,E14000841,E14000841,Alistair,Burt,Conservative,#0087DC,"109,625",83551,111.7455095,-11.7455095,
North East Cambridgeshire,E14000842,E14000842,Stephen,Barclay,Conservative,#0087DC,"115,511",82990,110.9951985,-10.99519854,
North East Derbyshire,E14000843,E14000843,Natascha,Engel,Labour,#DC241f,"91,033",71445,95.55430727,4.445692734,
North East Hampshire,E14000844,E14000844,Ranil,Jayawardena,Conservative,#0087DC,"98,393",76918,102.8741858,-2.874185826,
North East Hertfordshire,E14000845,E14000845,Oliver,Heald,Conservative,#0087DC,"98,046",74000,98.97149888,1.028501117,
North East Somerset,E14000846,E14000846,Jacob,Rees-Mogg,Conservative,#0087DC,"89,024",69380,92.79246747,7.207532534,
North Herefordshire,E14000847,E14000847,Bill,Wiggin,Conservative,#0087DC,"88,014",67926,90.84781126,9.152188741,
North Norfolk,E14000848,E14000848,Norman,Lamb,Liberal Democrat,#FDBB30,"85,788",68867,92.10635424,7.893645762,
North Shropshire,E14000849,E14000849,Owen,Paterson,Conservative,#0087DC,"106,254",78858,105.468844,-5.46884404,
North Somerset,E14000850,E14000850,Liam,Fox,Conservative,#0087DC,"100,634",80161,107.2115449,-7.211544892,
North Swindon,E14000851,E14000851,Justin,Tomlinson,Conservative,#0087DC,"110,642",80983,108.310931,-8.310931001,
North Thanet,E14000852,E14000852,Roger,Gale,Conservative,#0087DC,"96,567",71478,95.59844321,4.401556795,
North Tyneside,E14000853,E14000853,Mary,Glindon,Labour,#DC241f,"103,198",79300,106.0599981,-6.059998128,
North Warwickshire,E14000854,E14000854,Craig,Tracey,Conservative,#0087DC,"90,868",70152,93.82498094,6.175019059,
North West Cambridgeshire,E14000855,E14000855,Shailesh,Vara,Conservative,#0087DC,"128,647",90318,120.7960518,-20.79605184,
North West Durham,E14000856,E14000856,Pat,Glass,Labour,#DC241f,"92,825",69816,93.37559684,6.624403162,
North West Hampshire,E14000857,E14000857,Kit,Malthouse,Conservative,#0087DC,"103,773",79223,105.9570143,-5.957014271,
North West Leicestershire,E14000858,E14000858,Andrew,Bridgen,Conservative,#0087DC,"95,882",72193,96.55472188,3.445278123,
North West Norfolk,E14000859,E14000859,Henry,Bellingham,Conservative,#0087DC,"96,493",74402,99.50915486,0.490845136,
North Wiltshire,E14000860,E14000860,James,Gray,Conservative,#0087DC,"90,649",67851,90.74750231,9.252497693,
Northampton North,E14000861,E14000861,Michael,Ellis,Conservative,#0087DC,"88,284",59144,79.10230176,20.89769824,
Northampton South,E14000862,E14000862,David,Mackintosh,Conservative,#0087DC,"97,969",61287,81.96846287,18.03153713,
Norwich North,E14000863,E14000863,Chloe,Smith,Conservative,#0087DC,"89,079",64515,86.28576014,13.71423986,
Norwich South,E14000864,E14000864,Clive,Lewis,Labour,#DC241f,"100,425",74875,100.14177,-0.141769985,
Nottingham East,E14000865,E14000865,Chris,Leslie,Labour/Co-operative,#DC241f,"102,701",60464,80.8677393,19.1322607,
Nottingham North,E14000866,E14000866,Graham,Allen,Labour,#DC241f,"98,318",65918,88.16220626,11.83779374,
Nottingham South,E14000867,E14000867,Lilian,Greenwood,Labour,#DC241f,"113,249",68987,92.26684856,7.73315144,
Nuneaton,E14000868,E14000868,Marcus,Jones,Conservative,#0087DC,"91,676",68037,90.99626851,9.003731493,
Ogmore,W07000074,W07000074,Huw,Irranca-Davies,Labour,#DC241f,"75,973",55572,74.32492076,25.67507924,
Old Bexley and Sidcup,E14000869,E14000869,James,Brokenshire,Conservative,#0087DC,"88,661",66035,88.31868823,11.68131177,
Oldham East and Saddleworth,E14000870,E14000870,Debbie,Abrahams,Labour,#DC241f,"103,584",71475,95.59443085,4.405569153,
Oldham West and Royton,E14000871,E14000871,Jim,McMahon,Labour,#DC241f,"104,378",71652,95.83115997,4.168840027,
Orpington,E14000872,E14000872,Jo,Johnson,Conservative,#0087DC,"90,568",68129,91.11931415,8.880685846,
Oxford East,E14000873,E14000873,Andrew,Smith,Labour,#DC241f,"126,615",78978,105.6293384,-5.629338362,
Oxford West and Abingdon,E14000874,E14000874,Nicola,Blackwood,Conservative,#0087DC,"108,389",76174,101.879121,-1.879121026,
Pendle,E14000875,E14000875,Andrew,Stephenson,Conservative,#0087DC,"89,840",64573,86.3633324,13.6366676,
Penistone and Stocksbridge,E14000876,E14000876,Angela,Smith,Labour,#DC241f,"88,050",70817,94.71438698,5.285613021,
Penrith and The Border,E14000877,E14000877,Rory,Stewart,Conservative,#0087DC,"82,051",65209,87.21395231,12.78604769,
Peterborough,E14000878,E14000878,Stewart,Jackson,Conservative,#0087DC,"119,048",72530,97.00544343,2.994556568,
"Plymouth, Moor View",E14000879,E14000879,Johnny,Mercer,Conservative,#0087DC,"93,008",68246,91.27579612,8.724203881,
"Plymouth, Sutton and Devonport",E14000880,E14000880,Oliver,Colvile,Conservative,#0087DC,"114,097",73274,98.00050823,1.999491768,
Pontypridd,W07000075,W07000075,Owen,Smith,Labour,#DC241f,"81,147",58940,78.82946141,21.17053859,
Poole,E14000881,E14000881,Robert,Syms,Conservative,#0087DC,"97,591",72557,97.04155466,2.958445345,
Poplar and Limehouse,E14000882,E14000882,Jim,Fitzpatrick,Labour,#DC241f,"147,492",82081,109.7794541,-9.779454052,
Portsmouth North,E14000883,E14000883,Penny,Mordaunt,Conservative,#0087DC,"100,044",73105,97.77447873,2.225521272,
Portsmouth South,E14000884,E14000884,Flick,Drummond,Conservative,#0087DC,"109,041",71639,95.81377309,4.186226912,
Preseli Pembrokeshire,W07000065,W07000065,Stephen,Crabb,Conservative,#0087DC,"77,795",57291,76.62400193,23.37599807,
Preston,E14000885,E14000885,Mark,Hendrick,Labour/Co-operative,#DC241f,"95,169",59981,80.22174966,19.77825034,
Pudsey,E14000886,E14000886,Stuart,Andrew,Conservative,#0087DC,"90,342",70533,94.33455042,5.665449585,
Putney,E14000887,E14000887,Justine,Greening,Conservative,#0087DC,"93,694",63923,85.49398815,14.50601185,
Rayleigh and Wickford,E14000888,E14000888,Mark,Francois,Conservative,#0087DC,"99,715",77174,103.2165737,-3.216573714,
Reading East,E14000889,E14000889,Rob,Wilson,Conservative,#0087DC,"111,623",73232,97.94433522,2.055664781,
Reading West,E14000890,E14000890,Alok,Sharma,Conservative,#0087DC,"103,837",72567,97.05492918,2.945070818,
Redcar,E14000891,E14000891,Anna,Turley,Labour/Co-operative,#DC241f,"86,795",64826,86.70170793,13.29829207,
Redditch,E14000892,E14000892,Karen,Lumley,Conservative,#0087DC,"89,952",65531,87.64461207,12.35538793,
Reigate,E14000893,E14000893,Crispin,Blunt,Conservative,#0087DC,"104,506",73429,98.2078134,1.792186601,
Rhondda,W07000052,W07000052,Chris,Bryant,Labour,#DC241f,"69,546",51811,69.2947612,30.7052388,
Ribble Valley,E14000894,E14000894,Nigel,Evans,Conservative,#0087DC,"97,608",77379,103.4907515,-3.490751515,
Richmond (Yorks),E14000895,E14000895,Rishi,Sunak,Conservative,#0087DC,"108,256",79062,105.7416844,-5.741684388,
Richmond Park,E14000896,E14000896,Zac,Goldsmith,Conservative,#0087DC,"121,736",77303,103.3891051,-3.38910511,
Rochdale,E14000897,E14000897,Simon,Danczuk,Labour,#DC241f,"108,257",77248,103.3155452,-3.315545213,
Rochester and Strood,E14000898,E14000898,Kelly,Tolhurst,Conservative,#0087DC,"109,804",77119,103.1430138,-3.143013816,
Rochford and Southend East,E14000899,E14000899,James,Duddridge,Conservative,#0087DC,"102,671",71935,96.20965908,3.790340917,
Romford,E14000900,E14000900,Andrew,Rosindell,Conservative,#0087DC,"100,393",72594,97.0910404,2.908959596,
Romsey and Southampton North,E14000901,E14000901,Caroline,Nokes,Conservative,#0087DC,"88,500",66519,88.96601533,11.03398467,
Rossendale and Darwen,E14000902,E14000902,Jake,Berry,Conservative,#0087DC,"97,188",73779,98.67592184,1.324078161,
Rother Valley,E14000903,E14000903,Kevin,Barron,Labour,#DC241f,"94,959",74275,99.33929837,0.660701628,
Rotherham,E14000904,E14000904,Sarah,Champion,Labour,#DC241f,"90,974",63698,85.1930613,14.8069387,
Rugby,E14000905,E14000905,Mark,Pawsey,Conservative,#0087DC,"98,975",71655,95.83517233,4.164827669,
"Ruislip, Northwood and Pinner",E14000906,E14000906,Nick,Hurd,Conservative,#0087DC,"96,289",73216,97.92293598,2.077064024,
Runnymede and Weybridge,E14000907,E14000907,Philip,Hammond,Conservative,#0087DC,"106,214",73771,98.66522222,1.334777782,
Rushcliffe,E14000908,E14000908,Kenneth,Clarke,Conservative,#0087DC,"96,850",73278,98.00585804,1.994141957,
Rutland and Melton,E14000909,E14000909,Alan,Duncan,Conservative,#0087DC,"102,443",79693,106.585617,-6.585617034,
Saffron Walden,E14000910,E14000910,Alan,Haselhurst,Conservative,#0087DC,"107,061",80615,107.8187484,-7.818748412,
Salford and Eccles,E14000911,E14000911,Rebecca,Long-Bailey,Labour,#DC241f,"113,290",74291,99.36069762,0.639302385,
Salisbury,E14000912,E14000912,John,Glen,Conservative,#0087DC,"93,383",69582,93.06263291,6.937367091,
Scarborough and Whitby,E14000913,E14000913,Robert,Goodwill,Conservative,#0087DC,"96,591",73511,98.31748452,1.682515481,
Scunthorpe,E14000914,E14000914,Nicholas,Dakin,Labour,#DC241f,"90,422",64025,85.63040832,14.36959168,
Sedgefield,E14000915,E14000915,Phil,Wilson,Labour,#DC241f,"83,842",62844,84.0508767,15.9491233,
Sefton Central,E14000916,E14000916,Bill,Esterson,Labour,#DC241f,"84,167",67744,90.60439487,9.39560513,
Selby and Ainsty,E14000917,E14000917,Nigel,Adams,Conservative,#0087DC,"98,112",76082,101.7560754,-1.756075379,
Sevenoaks,E14000918,E14000918,Michael,Fallon,Conservative,#0087DC,"95,448",71958,96.2404205,3.759579505,
Sheffield Central,E14000919,E14000919,Paul,Blomfield,Labour,#DC241f,"121,581",72321,96.72591582,3.274084179,
Sheffield South East,E14000920,E14000920,Clive,Betts,Labour,#DC241f,"93,665",70422,94.18609317,5.813906833,
"Sheffield, Brightside and Hillsborough",E14000921,E14000921,None,None,None,#ffffff,"109,586",70874,94.79062178,5.209378218,
"Sheffield, Hallam",E14000922,E14000922,Nick,Clegg,Liberal Democrat,#FDBB30,"90,878",72351,96.7660394,3.233960599,
"Sheffield, Heeley",E14000923,E14000923,Louise,Haigh,Labour,#DC241f,"93,946",67950,90.87991012,9.120089877,
Sherwood,E14000924,E14000924,Mark,Spencer,Conservative,#0087DC,"96,868",73349,98.10081718,1.899182816,
Shipley,E14000925,E14000925,Philip,Davies,Conservative,#0087DC,"95,465",70464,94.24226618,5.75773382,
Shrewsbury and Atcham,E14000926,E14000926,Daniel,Kawczynski,Conservative,#0087DC,"103,320",76400,102.1813853,-2.181385333,
Sittingbourne and Sheppey,E14000927,E14000927,Gordon,Henderson,Conservative,#0087DC,"112,829",76018,101.6704784,-1.670478407,
Skipton and Ripon,E14000928,E14000928,Julian,Smith,Conservative,#0087DC,"98,860",76645,102.5090612,-2.509061242,
Sleaford and North Hykeham,E14000929,E14000929,Stephen,Phillips,Conservative,#0087DC,"114,316",87972,117.6583878,-17.65838783,
Slough,E14000930,E14000930,Fiona,Mactaggart,Labour,#DC241f,"138,143",86366,115.5104388,-15.51043882,
Solihull,E14000931,E14000931,Julian,Knight,Conservative,#0087DC,"100,442",77956,104.2624617,-4.262461715,
Somerton and Frome,E14000932,E14000932,David,Warburton,Conservative,#0087DC,"104,775",83281,111.3843973,-11.38439728,
South Basildon and East Thurrock,E14000933,E14000933,Stephen,Metcalfe,Conservative,#0087DC,"98,023",71155,95.16644599,4.833554013,
South Cambridgeshire,E14000934,E14000934,Heidi,Allen,Conservative,#0087DC,"113,598",84132,112.5225695,-12.52256951,
South Derbyshire,E14000935,E14000935,Heather,Wheeler,Conservative,#0087DC,"98,374",73923,98.86851503,1.131484974,
South Dorset,E14000936,E14000936,Richard,Drax,Conservative,#0087DC,"92,244",71534,95.67334056,4.326659444,
South East Cambridgeshire,E14000937,E14000937,Lucy,Frazer,Conservative,#0087DC,"117,960",84570,113.1083738,-13.10837379,
South East Cornwall,E14000938,E14000938,Sheryll,Murray,Conservative,#0087DC,"89,148",71071,95.05409996,4.945900039,
South Holland and The Deepings,E14000939,E14000939,John,Hayes,Conservative,#0087DC,"103,939",76460,102.2616325,-2.261632495,
